Date,Slate,Contest,Cost,Min Cash Score,Min Cash,1st Place Score,1st Place Cash
2/1/21,Main,$444K Mon NBA Clutch Shot ($100K to 1st),$3.00 ,291.9,5,411.2,100000
2/2/21,Main,$444K Tue NBA Clutch Shot ($100K to 1st),$3.00 ,312.1,5,420.2,100000
2/3/21,Main,$500K Wed NBA Clutch Shot ($100K to 1st),$3.00 ,316.8,5,403.9,100000
2/4/21,Main,$500K Thu NBA Clutch Shot ($100K to 1st),$3.00 ,298.7,5,359.3,100000
2/5/21,Main,$500K Fri NBA Clutch Shot ($100K to 1st),$3.33 ,321.3,5,416.9,100000
2/6/21,Main,$444K Sat NBA Clutch Shot ($100K to 1st),$3.33 ,329.4,5,435.8,100000
2/7/21,Main,$355K Sun NBA Big Game LV Shot ($55K to 1st),$5.55 ,284.2,10,351.5,55000
2/8/21,Main,$500K Mon NBA Clutch Shot ($100K to 1st),$3.33 ,325.1,5,451,100000
2/9/21,Main,$500K Tue NBA Clutch Shot ($100K to 1st),$3.33 ,296.8,5,398.8,100000
2/10/21,Main,$500K Wed NBA Clutch Shot ($100K to 1st),$3.33 ,306.3,5,419.6,100000
2/11/21,Main,$500K Thu NBA Clutch Shot ($100K to 1st),$3.33 ,299.1,5,389.5,100000
2/12/21,Main,$500K Fri NBA Clutch Shot ($100K to 1st),$3.33 ,312.8,5,399.3,100000
2/13/21,Main,$500K Sat NBA Clutch Shot ($100K to 1st),$3.33 ,299,5,369.8,100000
2/14/21,Main,$444K Sun NBA Clutch Shot ($100K to 1st),$3.33 ,311.1,5,410,100000
2/15/21,Main,$500K Mon NBA Clutch Shot ($100K to 1st),$3.33 ,343.3,5,448.4,100000
2/16/21,Main,$444K Tue NBA Clutch Shot ($100K to 1st),$3.33 ,323.5,5,415.1,100000
2/17/21,Main,$500K Wed NBA Clutch Shot ($100K to 1st),$3.33 ,344.8,5,453,100000
2/18/21,Main,$500K Thu NBA Clutch Shot ($100K to 1st),$3.33 ,282.4,5,352,100000
2/19/21,Main,$444K Fri NBA Clutch Shot ($100K to 1st),$3.33 ,335.3,5,442.5,100000
2/20/21,Main,$444K Sat NBA Clutch Shot ($100K to 1st),$3.00 ,304.9,5,395.6,100000
2/21/21,Main,$444K Sun NBA Clutch Shot ($100K to 1st),$3.33 ,318.3,5,406.1,100000
2/22/21,Main,$500K Mon NBA Clutch Shot ($100K to 1st),$3.33 ,301.5,5,393.2,100000
2/23/21,Main,$444K Tue NBA Clutch Shot ($100K to 1st),$3.00 ,311,5,382.5,100000
2/24/21,Main,$444K Wed NBA Clutch Shot ($100K to 1st),$3.00 ,315.9,5,415.8,100000
2/25/21,Main,$500K Thu NBA Clutch Shot ($100K to 1st),$3.33 ,301.8,5,391.8,100000
2/26/21,Main,$500K Fri NBA Clutch Shot ($100K to 1st),$3.33 ,313.4,5,409.2,100000
2/27/21,Main,$444K Sat NBA Clutch Shot ($100K to 1st),$3.33 ,321.3,5,406.6,100000
2/28/21,Main,$444K Sun NBA Clutch Shot ($100K to 1st),$3.33 ,307.6,5,422.8,100000
3/1/21,Main,$444K Mon NBA Clutch Shot ($100K to 1st),$3.33 ,318.3,5,447,100000
3/2/21,Main,$444K Tue NBA Clutch Shot ($100K to 1st),$3.33 ,294.3,5,383,100000
3/3/21,Main,$600K Mountain Dew NBA Clutch Shot ($33K 3-Pt Bonus),$3.33 ,336.2,5,462.1,133000
3/4/21,Main,$444K Thu NBA Clutch Shot ($100K to 1st),$3.33 ,296.7,5,413.6,100000
3/10/21,Main,$1M Tue NBA Comeback Shot ($200K to 1st),$4.00 ,284.8,7,366.2,200000
3/11/21,Main,$400K Thu NBA Clutch Shot ($100K to 1st),$3.33 ,335,5,412.1,100000
3/12/21,Main,$444K Fri NBA Clutch Shot ($100K to 1st),$3.33 ,306.6,5,389.1,100000
3/13/21,Main,$444K Sat NBA Clutch Shot ($100K to 1st),$3.33 ,306.5,5,410.6,100000
3/14/21,Main,$400K Sun NBA Clutch Shot ($100K to 1st),$3.33 ,301.2,5,397.4,100000
3/15/21,Main,$444K Mon NBA Clutch Shot ($100K to 1st),$3.33 ,334.4,5,413.9,100000
3/16/21,Main,$444K Tue NBA Clutch Shot ($100K to 1st),$3.33 ,345.8,5,436.3,100000
3/17/21,Main,$444K Wed NBA Clutch Shot ($100K to 1st),$3.33 ,357.8,5,453.2,100000
3/18/21,Main,$444K Thu NBA Clutch Shot ($100K to 1st),$3.33 ,331,5,420.3,100000
3/20/21,Main,$400K Sat NBA Clutch Shot ($100K to 1st),$3.33 ,323.9,5,390.3,100000
3/21/21,Main,$400K Sun NBA Clutch Shot ($100K to 1st),$5.00 ,305,8,378.4,100000
3/22/21,Main,$444K Mon NBA Clutch Shot ($100K to 1st),$4.44 ,363.8,7,428,100000
3/23/21,Main,$444K Tue NBA Clutch Shot ($100K to 1st),$3.33 ,297.4,5,383.5,100000
3/24/21,Main,$400K Wed NBA Clutch Shot ($100K to 1st),$3.33 ,295.2,5,399.3,100000
3/25/21,Main,$400K Thu NBA Clutch Shot ($100K to 1st),$5.00 ,341.9,8,424.6,100000
3/26/21,Main,$400K Fri NBA Clutch Shot ($100K to 1st),$4.44 ,327.4,7,410.5,100000
3/27/21,Main,$400K Sat NBA Clutch Shot ($100K to 1st),$5.00 ,335.3,8,414,100000
3/28/21,Main,$400K Sun NBA Clutch Shot ($100K to 1st),$5.00 ,280.7,8,349.8,100000
3/30/21,Main,$400K Tue NBA Clutch Shot ($100K to 1st),$5.55 ,300.5,10,373.6,100000
3/31/21,Main,$400K Wed NBA Clutch Shot ($100K to 1st),$5.55 ,322.6,10,413.3,100000
4/2/21,Main,$300K Fri NBA Clutch Shot ($50k to 1st),$4.44 ,329.7,8,411.8,50000
4/2/21,Main,$300K Fri NBA Clutch Shot ($50K to 1st),$4.44 ,329.7,8,411.8,50000
4/3/21,Main,$40K Sat NBA Layup ($10K to 1st),$9.00 ,319.9,15,389.3,10000
4/4/21,Main,$300K Sun NBA Clutch Shot ($50k to 1st),$4.44 ,304.2,8,394.9,50000
4/5/21,Main,$300K Mon NBA Clutch Shot ($50k to 1st),$4.44 ,315.1,8,397,50000
4/6/21,Main,$400K Tue NBA Clutch Shot ($100k to 1st),$5 ,293.9,8,377.5,100000
4/7/21,Main,$333K Wed NBA Clutch Shot ($50k to 1st),$4.44 ,313.2,8,400.3,50000
4/8/21,Main,$300K Thu NBA Clutch Shot ($50k to 1st),$4.44 ,330.7,8,419.1,50000
4/9/21,Main,$300K Fri NBA Clutch Shot ($50k to 1st),$5 ,342.2,8,428.5,50000
4/10/21,Main,$300K Sat NBA Clutch Shot ($50k to 1st),$5 ,315.7,8,421.5,50000
4/11/21,Main,$300K Sun NBA Clutch Shot ($50k to 1st),$5.55 ,326.8,10,428.9,50000
4/12/21,Main,$333K Mon NBA Clutch Shot ($50k to 1st),$4.44 ,303.2,8,390.8,50000
4/13/21,Main,$300K Tue NBA Clutch Shot ($50k to 1st),$4.44 ,323.5,8,403.6,50000
4/14/21,Main,$300K Wed NBA Clutch Shot ($50k to 1st),$4.44 ,337.3,8,432.5,50000
4/15/21,Main,$33K Thu NBA Clutch Shot ($50k to 1st),$4 ,280.9,8,356.8,50000
4/16/21,Main,$300K Fri NBA Clutch Shot ($50k to 1st),$4.44 ,350,8,450.3,50000
4/17/21,Main,$300K Sat NBA Clutch Shot ($50k to 1st),$4.44 ,319.1,8,390.6,50000
4/18/21,Main,$300K Sun NBA Clutch Shot ($50k to 1st),$5 ,342.1,8,423.5,50000
4/19/21,Main,$300K Mon NBA Clutch Shot ($50k to 1st),$4.44 ,358,8,460.8,50000
4/20/21,Main,"$300K Tue NBA Shot ($50K to 1st, Block Party Eligible)",$4.44 ,317.1,8,375.2,50000
4/21/21,Main,"$300K Wed NBA Shot ($50K to 1st, Block Party Eligible)",$4.44 ,354.1,8,466.3,50000
4/22/21,Main,"$300K Thu NBA Shot ($50K to 1st, Block Party Eligible)",$4.44 ,291.4,8,372,50000
4/23/21,Main,"$300K Fri NBA Shot ($50K to 1st, Block Party Eligible)",$4.44 ,336.4,8,420.5,50000
4/24/21,Main,$300K Sat NBA Clutch Shot ($50k to 1st),$5 ,354.2,8,425,50000
4/25/21,Main,$300K Sun NBA Shot ($50K to 1st),$5.55 ,331.6,10,403,50000
4/26/21,Main,"$300K Mon NBA Shot ($50K to 1st, Block Party Eligible)",$5 ,307.9,8,396.2,50000
,,,,,,,