Optimization_No,Date,Predicted_Score,Cost,Player_Count,FD_Points,Cash,Percentile,multiplier,Outcome
1,2021-02-01,306.0624993,3.0,9,290.0,N,-0.015926236,1.7,0.0
2,2021-02-01,305.57136319999995,3.0,9,293.4,Y,0.012573345,1.7,5.1
3,2021-02-01,305.34677969999996,3.0,9,301.4,Y,0.07963118200000001,1.7,5.1
4,2021-02-01,305.3160603,3.0,9,305.8,Y,0.116512992,1.7,5.1
5,2021-02-01,305.0345013000001,3.0,9,297.9,Y,0.050293378,1.7,5.1
6,2021-02-01,304.954682,3.0,9,310.0,Y,0.151718357,1.7,5.1
7,2021-02-01,304.9008856000001,3.0,9,317.5,Y,0.21458508,2.0,6.0
8,2021-02-01,304.8115118,3.0,9,286.4,N,-0.046102263,1.7,0.0
9,2021-02-01,304.5433652,3.0,9,301.3,Y,0.07879295900000001,1.7,5.1
10,2021-02-01,304.4430311000001,3.0,9,306.4,Y,0.12154233,1.7,5.1
1,2021-02-02,303.6628472,3.0,9,274.8,N,-0.345050879,1.7,0.0
2,2021-02-02,303.021856,3.0,9,345.0,Y,0.304347826,2.1,6.3
3,2021-02-02,302.9960396,3.0,9,318.6,Y,0.06012951,1.7,5.1
4,2021-02-02,302.8909881,3.0,9,321.2,Y,0.08418131400000001,1.7,5.1
5,2021-02-02,302.7386798,3.0,9,271.3,N,-0.377428307,1.7,0.0
6,2021-02-02,302.4780724,3.0,9,331.2,Y,0.176688252,2.0,6.0
7,2021-02-02,302.4667744,3.0,9,272.7,N,-0.36447733600000004,1.7,0.0
8,2021-02-02,302.3795966,3.0,9,309.1,N,-0.027752081,1.7,0.0
9,2021-02-02,302.2437882,3.0,9,319.2,Y,0.065679926,1.7,5.1
10,2021-02-02,302.1879977,3.0,9,311.4,N,-0.006475486,1.7,0.0
1,2021-02-03,305.71862285392604,3.0,9,258.9,N,-0.6647531572904714,1.7,0.0
2,2021-02-03,305.6068709172209,3.0,9,209.2,N,-1.2353616532721017,1.7,0.0
3,2021-02-03,305.6036867146625,3.0,9,249.0,N,-0.7784156142365102,1.7,0.0
4,2021-02-03,305.5896382704333,3.0,9,237.9,N,-0.9058553386911601,1.7,0.0
5,2021-02-03,305.58645406787485,3.0,9,277.70000000000005,N,-0.4489092996555681,1.7,0.0
6,2021-02-03,305.5261861052808,3.0,9,298.4,N,-0.21125143513203265,1.7,0.0
7,2021-02-03,305.46558554056253,3.0,9,225.1,N,-1.0528128587830083,1.7,0.0
8,2021-02-03,305.44835289377494,3.0,9,253.8,N,-0.7233065442020669,1.7,0.0
9,2021-02-03,305.3572255569441,3.0,9,241.5,N,-0.8645235361653277,1.7,0.0
10,2021-02-03,305.10963753678317,3.0,9,307.2000000000001,N,-0.110218140068886,1.7,0.0
1,2021-02-04,276.2050257595786,3.0,8,255.09999999999997,N,-0.7194719471947196,1.7,0.0
2,2021-02-04,256.6966412563541,3.0,8,253.9,N,-0.7392739273927387,1.7,0.0
3,2021-02-04,256.69653337049203,3.0,9,264.3,N,-0.5676567656765671,1.7,0.0
4,2021-02-04,256.69645576821983,3.0,9,277.3,N,-0.35313531353135263,1.7,0.0
5,2021-02-04,237.18807612075884,3.0,8,220.8,N,-1.2854785478547845,1.7,0.0
6,2021-02-04,237.1879674946901,3.0,9,219.70000000000002,N,-1.3036303630363026,1.7,0.0
7,2021-02-04,237.18786935888366,3.0,9,231.79999999999998,N,-1.1039603960396036,1.7,0.0
8,2021-02-04,217.6794901937373,3.0,8,199.99999999999997,N,-1.6287128712871284,1.7,0.0
9,2021-02-04,217.67938619888776,3.0,9,238.5,N,-0.9933993399339929,1.7,0.0
10,2021-02-04,217.67928306262434,3.0,9,223.0,N,-1.2491749174917486,1.7,0.0
1,2021-02-05,321.3937698000001,3.33,9,227.3,N,-0.983263598,1.7,0.0
2,2021-02-05,321.3755727,3.33,9,254.3,N,-0.70083682,1.7,0.0
3,2021-02-05,320.7999994,3.33,9,240.6,N,-0.8441422590000001,1.7,0.0
4,2021-02-05,320.626892,3.33,9,210.3,N,-1.161087866,1.7,0.0
5,2021-02-05,320.59882319999997,3.33,9,224.4,N,-1.0135983259999999,1.7,0.0
6,2021-02-05,320.5719913000001,3.33,9,248.4,N,-0.7625523009999999,1.7,0.0
7,2021-02-05,320.4797453000001,3.33,9,248.7,N,-0.759414226,1.7,0.0
8,2021-02-05,320.4702224,3.33,9,215.0,N,-1.111924686,1.7,0.0
9,2021-02-05,320.4683081,3.33,9,231.9,N,-0.935146444,1.7,0.0
10,2021-02-05,320.4418282,3.33,9,236.4,N,-0.8880753140000001,1.7,0.0
1,2021-02-07,308.6511288000001,5.55,9,278.2,N,-0.089153046,1.7,0.0
2,2021-02-07,308.2862697,5.55,9,263.5,N,-0.307578009,1.7,0.0
3,2021-02-07,308.07801789999996,5.55,9,275.9,N,-0.12332838,1.7,0.0
4,2021-02-07,307.8260475,5.55,9,289.6,Y,0.080237741,1.7,9.435
5,2021-02-07,307.6384634,5.55,9,269.3,N,-0.221396731,1.7,0.0
6,2021-02-07,307.43021160000006,5.55,9,281.7,N,-0.037147103,1.7,0.0
7,2021-02-07,307.34036349999997,5.55,9,278.9,N,-0.07875185700000001,1.7,0.0
8,2021-02-07,307.31853789999997,5.55,9,279.1,N,-0.07578008900000001,1.7,0.0
9,2021-02-07,307.2724648,5.55,9,267.5,N,-0.248142645,1.7,0.0
10,2021-02-07,307.1527795,5.55,9,258.6,N,-0.38038633,1.7,0.0
1,2021-02-09,302.88874619999996,3.33,9,266.0,N,-0.301960784,1.7,0.0
2,2021-02-09,302.1021458,3.33,9,321.1,Y,0.238235294,2.1,6.992999999999999
3,2021-02-09,302.0724031000001,3.33,9,264.0,N,-0.321568627,1.7,0.0
4,2021-02-09,302.05109889999994,3.33,9,265.0,N,-0.311764706,1.7,0.0
5,2021-02-09,301.9259948,3.33,9,261.4,N,-0.347058824,1.7,0.0
6,2021-02-09,301.9093757,3.33,9,323.6,Y,0.262745098,2.1,6.992999999999999
7,2021-02-09,301.9060731,3.33,9,266.6,N,-0.29607843100000003,1.7,0.0
8,2021-02-09,301.8351939,3.33,9,289.4,N,-0.07254902,1.7,0.0
9,2021-02-09,301.7596648,3.33,9,264.0,N,-0.321568627,1.7,0.0
10,2021-02-09,301.66886380000005,3.33,9,292.0,N,-0.047058824000000006,1.7,0.0
1,2021-02-10,318.2632742,3.33,9,260.1,N,-0.40776699,1.7,0.0
2,2021-02-10,317.8755326000001,3.33,9,244.9,N,-0.541924095,1.7,0.0
3,2021-02-10,317.35526410000006,3.33,9,231.3,N,-0.6619594,1.7,0.0
4,2021-02-10,317.1435066,3.33,9,252.5,N,-0.474845543,1.7,0.0
5,2021-02-10,317.07873839999996,3.33,9,240.3,N,-0.582524272,1.7,0.0
6,2021-02-10,316.4475551999999,3.33,9,236.4,N,-0.616946161,1.7,0.0
7,2021-02-10,316.4263572,3.33,9,254.6,N,-0.45631068,1.7,0.0
8,2021-02-10,316.1173931,3.33,9,227.3,N,-0.6972639009999999,1.7,0.0
9,2021-02-10,316.1140215,3.33,9,236.2,N,-0.618711386,1.7,0.0
10,2021-02-10,315.9589708000001,3.33,9,232.7,N,-0.649602824,1.7,0.0
1,2021-02-11,292.74149275515134,3.33,9,327.1,Y,0.3097345132743364,2.1,6.9929999999999986
2,2021-02-11,291.98250381295907,3.33,9,306.8,Y,0.08517699115044237,1.7,5.6610000000000005
3,2021-02-11,291.7967513050153,3.33,9,329.8,Y,0.3396017699115044,2.1,6.9929999999999986
4,2021-02-11,291.7223938877519,3.33,9,294.8,N,-0.047566371681416066,1.7,0.0
5,2021-02-11,291.353394711396,3.33,9,276.1,N,-0.254424778761062,1.7,0.0
6,2021-02-11,291.24329385524237,3.33,9,293.4000000000001,N,-0.06305309734513262,1.7,0.0
7,2021-02-11,291.06304578903047,3.33,9,313.1,Y,0.1548672566371682,1.7,5.6610000000000005
8,2021-02-11,290.8867075466728,3.33,9,293.2000000000001,N,-0.06526548672566349,1.7,0.0
9,2021-02-11,290.883283406245,3.33,9,274.3,N,-0.2743362831858409,1.7,0.0
10,2021-02-11,290.80293586382334,3.33,9,301.1,Y,0.02212389380530974,1.7,5.6610000000000005
1,2021-02-12,310.3505019896926,3.33,9,315.4000000000001,Y,0.030057803468208355,1.7,5.6610000000000005
2,2021-02-12,310.16132125521165,3.33,9,313.1,Y,0.0034682080924856805,1.7,5.6610000000000005
3,2021-02-12,310.124608164762,3.33,9,280.3,N,-0.3757225433526011,1.7,0.0
4,2021-02-12,310.0530937240345,3.33,9,335.99999999999994,Y,0.26820809248554833,2.1,6.9929999999999986
5,2021-02-12,309.8779371360454,3.33,9,324.0,Y,0.12947976878612705,1.7,5.6610000000000005
6,2021-02-12,309.5754737154182,3.33,9,322.6,Y,0.1132947976878614,1.7,5.6610000000000005
7,2021-02-12,308.9116605285978,3.33,9,346.0,Y,0.38381502890173397,2.3,7.659
8,2021-02-12,308.7462422366058,3.33,9,279.6,N,-0.38381502890173397,1.7,0.0
9,2021-02-12,308.7422777353202,3.33,9,326.2000000000001,Y,0.15491329479768826,1.7,5.6610000000000005
10,2021-02-12,308.57198114971544,3.33,9,303.0,N,-0.1132947976878614,1.7,0.0
1,2021-02-13,305.84051483425907,3.33,9,279.0,N,-0.28248587570621464,1.7,0.0
2,2021-02-13,304.9991952796129,3.33,9,282.7000000000001,N,-0.2302259887005643,1.7,0.0
3,2021-02-13,304.71299405328233,3.33,9,265.1,N,-0.4788135593220335,1.7,0.0
4,2021-02-13,304.5419268904623,3.33,9,280.0,N,-0.2683615819209039,1.7,0.0
5,2021-02-13,304.391629857924,3.33,9,250.00000000000003,N,-0.6920903954802254,1.7,0.0
6,2021-02-13,304.34535958051464,3.33,9,264.40000000000003,N,-0.4887005649717509,1.7,0.0
7,2021-02-13,304.17429241769463,3.33,9,279.3,N,-0.2782485875706213,1.7,0.0
8,2021-02-13,303.98225742621867,3.33,9,268.1,N,-0.4364406779661013,1.7,0.0
9,2021-02-13,303.78127086236395,3.33,9,279.70000000000005,N,-0.2725988700564965,1.7,0.0
10,2021-02-13,303.5864537405795,3.33,9,262.40000000000003,N,-0.5169491525423723,1.7,0.0
1,2021-02-14,304.3102314539665,3.33,9,289.1,N,-0.22244691607684536,1.7,0.0
2,2021-02-14,304.2426287421975,3.33,9,311.1,N,0.0,1.7,0.0
3,2021-02-14,304.1417475716832,3.33,9,299.00000000000006,N,-0.1223458038422646,1.7,0.0
4,2021-02-14,304.0286388011143,3.33,9,275.5,N,-0.35995955510616817,1.7,0.0
5,2021-02-14,303.80221512717867,3.33,9,337.2,Y,0.2639029322548025,2.1,6.9929999999999986
6,2021-02-14,303.74739781218847,3.33,9,317.3,Y,0.06268958543983813,1.7,5.6610000000000005
7,2021-02-14,303.7039793482095,3.33,9,341.1,Y,0.3033367037411522,2.1,6.9929999999999986
8,2021-02-14,303.65143196448213,3.33,9,312.3,Y,0.012133468149645995,1.7,5.6610000000000005
9,2021-02-14,303.59746799674,3.33,9,304.2,N,-0.06976744186046548,1.7,0.0
10,2021-02-14,303.5882251860956,3.33,9,301.6,N,-0.09605662285136504,1.7,0.0
1,2021-02-15,304.19816186943365,3.33,9,351.5,Y,0.07802093244529011,1.7,5.6610000000000005
2,2021-02-15,303.64345722957273,3.33,9,389.6,Y,0.4405328258801144,3.0,9.99
3,2021-02-15,303.49404810346215,3.33,9,374.8,Y,0.2997145575642241,2.1,6.9929999999999986
4,2021-02-15,302.3705338766981,3.33,9,369.1,Y,0.24548049476688885,2.1,6.9929999999999986
5,2021-02-15,302.18859296795347,3.33,9,380.1,Y,0.3501427212178879,2.1,6.9929999999999986
6,2021-02-15,302.02837203722737,3.33,9,306.8,N,-0.3472882968601333,1.7,0.0
7,2021-02-15,301.8359759505817,3.33,9,368.3,Y,0.2378686964795433,2.1,6.9929999999999986
8,2021-02-15,301.8064480675285,3.33,9,384.4,Y,0.3910561370123695,2.3,7.659
9,2021-02-15,301.78812764853643,3.33,9,373.0,Y,0.2825880114176974,2.1,6.9929999999999986
10,2021-02-15,301.7847092285415,3.33,9,374.70000000000016,Y,0.2987630827783068,2.1,6.9929999999999986
1,2021-02-16,302.7592353356073,3.33,9,318.7999999999999,N,-0.05131004366812275,1.7,0.0
2,2021-02-16,302.59848947112675,3.33,9,297.6,N,-0.2827510917030571,1.7,0.0
3,2021-02-16,301.94811331005053,3.33,9,329.2,Y,0.06222707423580773,1.7,5.6610000000000005
4,2021-02-16,301.6278652461158,3.33,9,300.4,N,-0.2521834061135373,1.7,0.0
5,2021-02-16,301.54662709744105,3.33,9,312.99999999999994,N,-0.11462882096069928,1.7,0.0
6,2021-02-16,301.4468821629983,3.33,9,318.6,N,-0.05349344978165975,1.7,0.0
7,2021-02-16,301.34882874451284,3.33,9,311.4,N,-0.13209606986899586,1.7,0.0
8,2021-02-16,301.34673785571215,3.33,9,328.19999999999993,Y,0.051310043668121516,1.7,5.6610000000000005
9,2021-02-16,285.3895468061655,3.33,8,288.0,N,-0.3875545851528383,1.7,0.0
10,2021-02-16,285.38941859488085,3.33,9,291.2,N,-0.35262008733624456,1.7,0.0
1,2021-02-17,307.00324937530274,3.33,9,366.4,Y,0.19963031423290173,2.0,6.66
2,2021-02-17,306.8973739307002,3.33,9,346.2,Y,0.012939001848428626,1.7,5.6610000000000005
3,2021-02-17,266.6599782913654,3.33,8,265.7,N,-0.7310536044362295,1.7,0.0
4,2021-02-17,266.65987169392577,3.33,9,284.80000000000007,N,-0.5545286506469497,1.7,0.0
5,2021-02-17,266.65976918491435,3.33,9,309.4999999999999,N,-0.3262476894639568,1.7,0.0
6,2021-02-17,266.6596651012136,3.33,9,310.10000000000014,N,-0.32070240295748553,1.7,0.0
7,2021-02-17,266.66011838699575,3.33,9,343.7,N,-0.010166358595194295,1.7,0.0
8,2021-02-17,266.6600168452568,3.33,9,324.60000000000014,N,-0.1866913123844726,1.7,0.0
9,2021-02-17,266.6599090289951,3.33,9,273.3,N,-0.6608133086876156,1.7,0.0
10,2021-02-17,266.6598031405489,3.33,9,326.7,N,-0.16728280961183015,1.7,0.0
1,2021-02-18,287.3855215019916,3.33,9,264.2,N,-0.26149425287356304,1.7,0.0
2,2021-02-18,286.3469191783678,3.33,9,262.9,N,-0.28017241379310337,1.7,0.0
3,2021-02-18,286.29804055590273,3.33,9,255.3,N,-0.3893678160919534,1.7,0.0
4,2021-02-18,286.13748376650034,3.33,9,240.3,N,-0.6048850574712636,1.7,0.0
5,2021-02-18,285.5002886399925,3.33,9,253.8,N,-0.4109195402298844,1.7,0.0
6,2021-02-18,285.2380933949252,3.33,9,262.5,N,-0.28591954022988464,1.7,0.0
7,2021-02-18,285.2033034409042,3.33,9,259.8,N,-0.32471264367816033,1.7,0.0
8,2021-02-18,285.15951666577257,3.33,9,236.90000000000003,N,-0.6537356321839071,1.7,0.0
9,2021-02-18,285.0775366055228,3.33,9,247.50000000000003,N,-0.5014367816091945,1.7,0.0
10,2021-02-18,284.4616863163687,3.33,9,252.5,N,-0.4295977011494248,1.7,0.0
1,2021-02-19,313.52469630520864,3.33,9,303.5,N,-0.2966417910447763,1.7,0.0
2,2021-02-19,273.07079714730736,3.33,8,255.6,N,-0.7434701492537316,1.7,0.0
3,2021-02-19,273.07069649643114,3.33,9,255.1,N,-0.7481343283582091,1.7,0.0
4,2021-02-19,258.0533230615962,3.33,8,238.5,N,-0.9029850746268658,1.7,0.0
5,2021-02-19,258.0532231068911,3.33,9,284.30000000000007,N,-0.4757462686567159,1.7,0.0
6,2021-02-19,258.05312400098245,3.33,9,284.1,N,-0.47761194029850795,1.7,0.0
7,2021-02-19,258.0530231536855,3.33,9,340.6,Y,0.0494402985074628,1.7,5.6610000000000005
8,2021-02-19,258.0529178953064,3.33,9,272.4,N,-0.5867537313432839,1.7,0.0
9,2021-02-19,258.0528158922141,3.33,9,394.1,Y,0.5485074626865668,4.9,16.317
10,2021-02-19,258.0527171307492,3.33,9,240.4,N,-0.8852611940298512,1.7,0.0
1,2021-02-20,298.68036923109804,3.0,9,296.6,N,-0.09151047409040802,1.7,0.0
2,2021-02-20,298.0596964380654,3.0,9,304.9000000000001,Y,6.267190613099006e-16,1.7,5.1
3,2021-02-20,297.3633664467668,3.0,9,303.3,N,-0.017640573318632467,1.7,0.0
4,2021-02-20,297.33919843379834,3.0,9,307.3,Y,0.026460859977949645,1.7,5.1
5,2021-02-20,297.14000157152026,3.0,9,283.6,N,-0.2348401323042999,1.7,0.0
6,2021-02-20,297.09451302440215,3.0,9,284.6,N,-0.22381477398015373,1.7,0.0
7,2021-02-20,296.78249395616797,3.0,9,281.5,N,-0.2579933847850051,1.7,0.0
8,2021-02-20,296.7370054090498,3.0,9,282.50000000000006,N,-0.2469680264608589,1.7,0.0
9,2021-02-20,296.4339018191442,3.0,9,279.0,N,-0.2855567805953689,1.7,0.0
10,2021-02-20,296.3576256211736,3.0,9,312.0,Y,0.07828004410143351,1.7,5.1
1,2021-02-21,307.13827148288163,3.33,9,320.1,Y,0.02050113895216349,1.7,5.6610000000000005
2,2021-02-21,306.53006512917005,3.33,9,332.7,Y,0.1640091116173118,1.7,5.6610000000000005
3,2021-02-21,306.085616830081,3.33,9,339.1,Y,0.2369020501138947,2.1,6.992999999999999
4,2021-02-21,266.60775325011844,3.33,8,225.8,N,-1.0535307517084285,1.7,0.0
5,2021-02-21,266.60764428642767,3.33,9,313.4,N,-0.05580865603644685,1.7,0.0
6,2021-02-21,266.60754184577274,3.33,9,291.2000000000001,N,-0.30865603644646883,1.7,0.0
7,2021-02-21,266.60743659746817,3.33,9,265.6,N,-0.6002277904328016,1.7,0.0
8,2021-02-21,266.6073367134118,3.33,9,303.8,N,-0.16514806378132116,1.7,0.0
9,2021-02-21,266.6072425501857,3.33,9,285.2,N,-0.3769931662870162,1.7,0.0
10,2021-02-21,266.6071385799941,3.33,9,348.40000000000015,Y,0.3428246013667428,2.1,6.992999999999999
1,2021-02-22,263.66609130561574,3.33,8,260.0,N,-0.4525627044711015,1.7,0.0
2,2021-02-22,263.66598878144174,3.33,9,270.90000000000003,N,-0.33369683751363105,1.7,0.0
3,2021-02-22,263.665885543499,3.33,9,291.5,N,-0.10905125408942204,1.7,0.0
4,2021-02-22,249.20062304325612,3.33,8,263.5,N,-0.41439476553980376,1.7,0.0
5,2021-02-22,230.04680864420288,3.33,8,219.7,N,-0.8920392584514721,1.7,0.0
6,2021-02-22,190.84914916502902,3.33,8,191.1,N,-1.2039258451472197,1.7,0.0
7,2021-02-22,171.69533201633567,3.33,8,172.60000000000005,N,-1.4056706652126498,1.7,0.0
8,2021-02-22,171.6952294653924,3.33,9,192.8,N,-1.1853871319520175,1.7,0.0
9,2021-02-22,158.45954882322815,3.33,8,142.2,N,-1.7371864776444932,1.7,0.0
10,2021-02-22,158.45944717580934,3.33,9,222.8,N,-0.8582333696837513,1.7,0.0
1,2021-02-23,307.4724186915513,3.0,9,281.9,N,-0.4069930069930073,1.7,0.0
2,2021-02-23,306.9256279910361,3.0,9,283.5,N,-0.38461538461538464,1.7,0.0
3,2021-02-23,306.910010556638,3.0,9,271.1,N,-0.5580419580419578,1.7,0.0
4,2021-02-23,306.8779469116319,3.0,9,275.3,N,-0.4993006993006992,1.7,0.0
5,2021-02-23,306.6718461883339,3.0,9,297.8,N,-0.1846153846153845,1.7,0.0
6,2021-02-23,306.6241651089297,3.0,9,289.6,N,-0.29930069930069897,1.7,0.0
7,2021-02-23,306.15351672341137,3.0,9,311.6,Y,0.008391608391608709,1.7,5.1
8,2021-02-23,306.10943805342066,3.0,9,287.0,N,-0.3356643356643357,1.7,0.0
9,2021-02-23,306.06175697401636,3.0,9,278.8,N,-0.4503496503496502,1.7,0.0
10,2021-02-23,305.9873137341212,3.0,9,271.1,N,-0.5580419580419578,1.7,0.0
1,2021-02-24,264.7815070522255,3.0,8,294.0,N,-0.2192192192192189,1.7,0.0
2,2021-02-24,225.58384992609908,3.0,8,238.7,N,-0.7727727727727727,1.7,0.0
3,2021-02-24,225.58375032457425,3.0,9,211.2,N,-1.0480480480480476,1.7,0.0
4,2021-02-24,225.58364627355544,3.0,9,254.50000000000003,N,-0.6146146146146139,1.7,0.0
5,2021-02-24,225.58354257347355,3.0,9,266.5,N,-0.4944944944944941,1.7,0.0
6,2021-02-24,186.3858885481575,3.0,8,226.2,N,-0.8978978978978974,1.7,0.0
7,2021-02-24,186.38578816750973,3.0,9,210.3,N,-1.0570570570570563,1.7,0.0
8,2021-02-24,186.38567841114133,3.0,9,208.3,N,-1.0770770770770763,1.7,0.0
9,2021-02-24,186.38557172514686,3.0,9,205.7,N,-1.1031031031031022,1.7,0.0
10,2021-02-24,186.38547015968646,3.0,9,212.2,N,-1.0380380380380376,1.7,0.0
1,2021-02-25,302.85343875004037,3.33,9,311.4000000000001,Y,0.10666666666666692,1.7,5.6610000000000005
2,2021-02-25,302.2293558811002,3.33,9,287.7,N,-0.15666666666666693,1.7,0.0
3,2021-02-25,302.0892016223968,3.33,9,315.8,Y,0.15555555555555556,1.7,5.6610000000000005
4,2021-02-25,282.87691228979264,3.33,8,290.5,N,-0.12555555555555567,1.7,0.0
5,2021-02-25,282.87680931278413,3.33,9,299.1,N,-0.030000000000000505,1.7,0.0
6,2021-02-25,282.87670654459987,3.33,9,298.5,N,-0.036666666666666785,1.7,0.0
7,2021-02-25,282.8765968712653,3.33,9,293.3,N,-0.09444444444444444,1.7,0.0
8,2021-02-25,282.87649755980425,3.33,9,237.6,N,-0.7133333333333332,1.7,0.0
9,2021-02-25,282.8763966306285,3.33,9,343.79999999999984,Y,0.4666666666666661,3.0,9.99
10,2021-02-25,282.8762966457701,3.33,9,296.2999999999999,N,-0.06111111111111174,1.7,0.0
1,2021-02-26,264.6845870610057,3.33,8,266.1,N,-0.493736951983298,1.7,0.0
2,2021-02-26,264.6844775627078,3.33,9,237.5,N,-0.7922755741127349,1.7,0.0
3,2021-02-26,264.68437745312,3.33,9,304.4,N,-0.0939457202505219,1.7,0.0
4,2021-02-26,248.4808130858962,3.33,8,273.4,N,-0.417536534446764,1.7,0.0
5,2021-02-26,209.28315576646264,3.33,8,254.3,N,-0.6169102296450936,1.7,0.0
6,2021-02-26,193.0795810989006,3.33,8,217.7,N,-0.9989561586638828,1.7,0.0
7,2021-02-26,193.07947962644263,3.33,9,229.9,N,-0.87160751565762,1.7,0.0
8,2021-02-26,193.0793773588584,3.33,9,239.9,N,-0.7672233820459289,1.7,0.0
9,2021-02-26,193.0792737486396,3.33,9,234.5,N,-0.8235908141962418,1.7,0.0
10,2021-02-26,193.07916422803558,3.33,9,219.30000000000004,N,-0.9822546972860118,1.7,0.0
1,2021-02-27,305.53852401293256,3.33,9,331.2000000000001,Y,0.11606096131301327,1.7,5.6610000000000005
2,2021-02-27,305.4185812758743,3.33,9,329.50000000000006,Y,0.09613130128956676,1.7,5.6610000000000005
3,2021-02-27,305.17051524799734,3.33,9,335.7999999999999,Y,0.16998827667057376,1.7,5.6610000000000005
4,2021-02-27,305.14658584731427,3.33,9,310.6,N,-0.12543962485345822,1.7,0.0
